Product Code	Product Name	Variant	Expected	Counted
14353736	Alooz chips-20tk		0	10
200ml	frutika-20tk		0	
250ml	frutika-25tk		59	
27845691	Cokacola 250ml		0	
34273078	pinutbar		0	
36461142	muffin cake (10 tk)		0	
38561750	Vanilla Cake		0	
38729954	Dry cake(15)		0	
39568918	Lolipop drim		0	
39761873	Nutty biscuit		0	
41711259	Kitkat big		0	
42016301	Lacchi (200 ml)		0	
42604789	Dray milk 		0	
42922237	Mango bar-10tk		0	
44273013	Badab vaja		0	
454466	Frooto ( 250 ml)		0	
48132620	Max cola-18TK		0	
49454623	Alooz chips		0	
49684032	Furti Fan		0	
50489239	Kachchhi Biryani		0	
51309286	Dark Fantasy		0	
52478831	Badam vhaja		0	
53150044	Energy plus (mini)		0	
54434954	Rolls		0	
54545656	Hajam candy		0	
55523728	Cup kek		0	
55648863	Frooto (250 ml)		0	
55770751	BADAM BHAJA		0	
57889549	Peanut bar		0	
59254228	Mango bar-10tk		0	
62008236	Kitkat soto		0	
62186292	Choconilla (121 ml)		0	
62796999	Nutty Buskut		0	
64614286	soft cake(20)		0	
64916537	Putika 		0	
65086882	Mafin cake		0	
66036534	Patata		0	
66677797	potato chips(pcb)		0	
66725202	Cocotat		0	
68062897	Mango bar-10tk		0	
70758709	mr twist-20tk		0	
73291945	Dew 		0	
73366071	Mr. twist		0	
74077009	Choko fan		0	
76196098	Mama wefer-35tk		0	
77043993	Delight candy		369	
79171682	drinko		0	
79212970	Pran up-18TK		0	
79596230	Chocobean		0	
7up	7Up		79	
80165249	Frutika 		0	
81643692	Wafar		0	
81901621	Mum 		0	
84110916	Orange		0	
86377046	Dong dong		0	
88192382	Badam Vhaja		0	
89605724	Fanta 250ml		0	
89625775	Dal vaja		0	
90330955	Chocolate Cake		0	
91717923	Patata		0	
91959476	Shell & Core		0	
94303847	Smile Cake-10tk		0	
95020855	Mongo Bar		0	
95790216	Coffee blast (cup)		0	
96742631	lexus(mini)		0	
98362887	Alooz chips		0	
98584541	Pineapple		0	
99697293	Vegetable Roll		0	
ac	Alooz chips		152	
bc	Burgur (Chicken)		0	
bf	Black forest		0	
bj	Badam juice		68	
bjuice	Badam juice		0	
bv	Badam Vhaja		183	
candy	Toffeeto chocolate		416	
cb	Chocobeen		0	
cbar	Chocobar		4	
cbb	chocobeen  (35tk)		102	
cbl	Choco blast		2	
cbm	Crunchy bar (mini)		7	
cbmega	Crunchy bar mega		0	
cc	Coca-cola		83	
chana	Chanachur (bombay)		35	
chmb	Champian biscuit		14	
cj	Chocklet juice		79	
ckb	Champian biscuit		0	
cmd	Choclet milk		0	
cofe	COFFEE		446	
cpb	Chocklet plus biscuit		26	
cr	Roll (chicken)		0	
DK	Dry cake		0	
DR	Drinko (250 ml)		22	
dv	Dal vhaja		48	
EP	Energy plus (68 gm)		52	
f250	Frooto (250ml)		39	
fb	Fit biscuit		9	
fcb	First choice		31	
firni	Firni		0	
fiter	Chocobeen		0	
fj250	Frutika		0	
hb	Hazel beats		0	
hc	Hojom candy		359	
hhs	Hidden heart single		0	
jhp	Jhal muri (pran)		0	
jmb	Jhal muri (Bombay)		17	
kj	Kulfi juice		54	
l250	Lacchi -25TK		25	
l400	Lemon		104	
lb	Lemon biscuit		32	
lc200	Lacchi-20tk		0	
li	Lolly -Orange		36	
lp	Whisle Lolly-pop		37	
m250	Mirinda (250 ml)		23	
mb	Milk plus biscuit		0	
mbar	Mango bar		0	
mbj	Mango juice (250 ml-packet)		0	
mc	muffin cake 		170	
mcan	Mango can		48	
md	Mountain Due		50	
mpb	Milk plus Biscuits		134	
mrt	Mr.Twist		84	
mt	Milk tea		139	
mw	Mama wafer		6	
mxc	Max-cola		91	
nb	Nutty biscuit		64	
ob	Orange biscuit		33	
p250	Pepsi (250 ml)		70	
pbar	Peanut bar		136	
pcb	Potato crackers (bombay)		162	
pcc	Pasta chips		123	
psb	Potata spicy		0	
psm	Potata spicy - (mini)		228	
ptc	Tatul chatni		0	
pudding	Pudding		0	
pulse	Pulse (mango+lemon+tetul)		598	
pup	Pran up		27	
rinc	Ring chips		85	
rm	Ripe mango		0	
rt	Red tea (Masala)		67	
s&c	Shell & Core		0	
sc	Soft cake		20	
smc	Smile cake		57	
ss	Swarly sunday		0	
sw	Sandwich		0	
t250	Tango (250 ml)		0	
tb	Tip biscut		25	
tc	Treat chocolate		94	
v100	Vanilla -100 ml (cup)		5	
v121	Vanilla -121 ml		0	
v500	Vanila-500		4	
v7	Vanilla -72 ml		0	
v72	Vanilla- 72 ml		5	
w1000	Water  (kinley-1000 ml)		14	
w500	Water  (kinley-500 ml)		21	
wa	water 500ml		0	
wdrkid	Wonder kid		0	
zc	Zeros Chips		103	
